product_name,product_code,currency,asset_class,sub_category,risk_level,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y
富国沪深300,510006,CNY,股票类,股票型,R4,27.53,17.22,10.08,22.63,26.38,20.4,-12.72,-45.0,-27.42,0.72,0.6,0.64
中欧医疗健康,530000,CNY,股票类,行业主题型,R4,23.9,22.78,12.09,22.81,23.42,19.4,-21.1,-29.91,-33.22,0.51,0.65,0.69
招商白酒B,530007,CNY,股票类,行业主题型,R5,22.88,15.34,5.0,20.6,16.43,,-18.31,-27.25,-41.52,0.57,0.46,0.62
长信量化先锋,540002,CNY,股票类,量化多因子,R4,18.48,17.26,10.24,21.39,20.46,23.71,-20.91,-27.47,-37.3,0.58,0.57,0.68
华安量化优选B,540005,CNY,股票类,量化多因子,R4,16.89,18.51,20.0,21.82,21.87,19.24,-27.81,-23.77,-40.85,0.72,0.57,
华安量化优选,540001,CNY,股票类,量化多因子,R3,13.55,13.67,,25.53,18.98,22.8,-29.56,-26.03,-22.47,0.2,0.51,0.7
易方达易理财D,000016,CNY,现金类,货币基金,R1,4.21,3.17,,1.37,1.2,1.19,-0.91,-2.47,-1.6,2.01,1.91,2.08
南方现金增利,000002,CNY,现金类,货币基金,R1,3.72,2.47,2.3,0.08,1.13,0.34,-2.0,-1.21,0.0,2.25,2.39,
天弘余额宝,000000,CNY,现金类,货币基金,R1,3.42,2.94,3.14,0.54,0.98,0.22,-1.06,-2.18,-2.74,2.71,2.48,2.08
华安日日鑫,000003,CNY,现金类,货币基金,R1,3.06,2.85,3.31,0.85,1.02,,-0.84,-2.0,-1.01,2.18,1.84,2.06
天弘余额宝C,000010,CNY,现金类,货币基金,R1,2.87,3.84,2.28,0.19,1.56,0.67,-1.33,-0.72,-2.61,2.93,2.34,1.75
嘉实超短债,010000,CNY,现金类,短债型,R1,2.7,3.02,,1.47,0.26,0.09,-1.76,-0.55,-2.55,3.0,1.9,1.96
博时现金收益,000004,CNY,现金类,货币基金,R1,2.33,2.92,,1.0,1.39,0.93,-1.01,-0.89,-0.61,2.46,2.1,
天弘余额宝D,000015,CNY,现金类,货币基金,R1,1.53,4.0,2.4,0.89,0.78,0.87,-0.59,-0.85,-2.58,2.19,2.2,1.83
汇添富中证800B,510015,CNY,股票类,股票型,R4,34.23,14.33,,17.61,17.89,18.26,-22.98,-27.44,-31.79,0.91,0.65,0.82
华宝科技龙头B,530010,CNY,股票类,行业主题型,R5,32.34,14.32,14.66,22.4,28.0,,-15.5,-30.96,,0.46,0.37,
中欧医疗健康C,530012,CNY,股票类,行业主题型,R4,31.42,18.06,,16.33,20.33,,-27.97,-40.37,,0.93,0.98,0.43
招商白酒,530001,CNY,股票类,行业主题型,R4,30.88,20.06,20.0,17.55,24.05,21.0,-10.0,-36.06,,0.49,0.55,0.35
银华量化优选B,520008,CNY,股票类,股票增强型,R5,29.79,15.6,15.06,19.6,22.13,,-23.31,-29.27,-29.24,0.5,1.0,0.49
中欧医疗健康B,530006,CNY,股票类,行业主题型,R5,27.94,7.15,8.06,12.0,20.06,22.47,-13.11,-29.44,-20.97,0.35,0.35,0.62
天弘新能源B,530008,CNY,股票类,行业主题型,R5,27.16,10.82,14.39,18.61,18.22,20.21,-28.97,-34.15,-43.58,1.19,0.66,
国泰量化增强,520002,CNY,股票类,股票增强型,R4,26.49,9.8,11.25,18.86,18.71,25.35,-19.97,-39.46,-26.66,1.2,0.83,0.42
国泰量化增强B,520007,CNY,股票类,股票增强型,R5,25.6,18.4,12.42,21.53,25.47,18.87,-19.08,-31.52,-35.74,0.97,0.79,0.74
