asset_class,market,sector,ticker,ref_date,value,unit,data_type
Equity,US,Broad_Market_Index,SPX,2026-01-02,6858.47,Index_Level,Equity
Equity,US,Broad_Market_Index,IXIC,2026-01-02,23235.63,Index_Level,Equity
Equity,Japan,Broad_Market_Index,NI225,2026-01-05,51832.8,Index_Level,Equity
Equity,Japan,Broad_Market_Index,NI225,2026-01-22,53688.89,Index_Level,Equity
Equity,HongKong,Broad_Market_Index,HSI,2026-01-02,26338.47,Index_Level,Equity
Equity,HongKong,Broad_Market_Index,HSI,2026-01-22,26629.96,Index_Level,Equity
Equity,China_A,Broad_Market_Index,000001.SH,2026-01-05,4023.42,Index_Level,Equity
Equity,China_A,Broad_Market_Index,000001.SH,2026-01-22,4122.58,Index_Level,Equity
Equity,China_A,Broad_Market_Index,399001.SZ,2026-01-05,13828.63,Index_Level,Equity
Equity,China_A,Broad_Market_Index,399001.SZ,2026-01-22,14327.05,Index_Level,Equity
Equity,China_A,Growth_Style_Index,399006.SZ,2026-01-05,3294.55,Index_Level,Equity
Equity,China_A,Growth_Style_Index,399006.SZ,2026-01-22,3328.65,Index_Level,Equity
